Binary Value,Probability
000000000,0.005844952166724574
000000001,0.001872610450979417
000000010,2.0621888945413744e-05
000000011,6.606857277286966e-06
000000100,0.02526398990192546
000000101,0.00809409729528988
000000110,0.0038596321407701794
000000111,0.0012365520328616372
000001000,0.0015359699113248367
000001001,0.0004920952689247824
000001010,5.419137750204752e-06
000001011,1.7361876875747154e-06
000001100,0.006639015550937804
000001101,0.002127013113242959
000001110,0.001014256176595434
000001111,0.0003249482052352503
000010000,0.010637835961352256
000010001,0.0034081583952800913
000010010,0.00954473346932344
000010011,0.003057949344431366
000010100,0.007947246225128211
000010101,0.0025461451031893586
000010110,0.004131046513156138
000010111,0.0013235079866108336
000011000,0.002795471287389981
000011001,0.0008956153273556872
000011010,0.00250821957174569
000011011,0.0008035853929039397
000011100,0.00208842275034858
000011101,0.0006690905514385908
000011110,0.001085579995438515
000011111,0.00034779898737332906
000100000,0.0017914028889669152
000100001,0.0005739310906412491
000100010,0.002241343129412143
000100011,0.0007180833048151575
000100100,0.001279053019400015
000100101,0.0004097840295633191
000100110,0.0190441618427448
000100111,0.006101383805994768
000101000,0.000470755081996761
000101001,0.0001508208897615003
000101010,0.0005889929480228592
000101011,0.00018870203186604757
000101100,0.000336116857204074
000101101,0.00010768538759546798
000101110,0.005004533611649486
000101111,0.0016033564819922677
000110000,0.0019774359137818566
000110001,0.0006335324999528661
000110010,0.001722941084535299
000110011,0.0005519972429698499
000110100,0.010046696519840005
000110101,0.003218768668112776
000110110,0.0006105267455105624
000110111,0.00019560104713161567
000111000,0.0005196419027059588
000111001,0.00016648328848845127
000111010,0.00045276429803780595
000111011,0.00014505698800458747
000111100,0.002640128288908436
000111101,0.0008458464132319592
000111110,0.00016043770494854188
000111111,5.1401160257253876e-05
001000000,0.0015359699113248388
001000001,0.0004920952689247832
001000010,5.419137750204826e-06
001000011,1.7361876875747372e-06
001000100,0.006639015550937814
001000101,0.0021270131132429602
001000110,0.0010142561765954345
001000111,0.0003249482052352504
001001000,0.0004036309453353995
001001001,0.00012931560516043242
001001010,1.4240719670941605e-06
001001011,4.562453160368102e-07
001001100,0.0017446384223829521
001001101,0.0005589486534267661
001001110,0.0002665320305775856
001001111,8.539174517488798e-05
001010000,0.002795471287389981
001010001,0.0008956153273556878
001010010,0.0025082195717456924
001010011,0.00080358539290394
001010100,0.002088422750348581
001010101,0.000669090551438591
001010110,0.0010855799954385167
001010111,0.00034779898737332906
001011000,0.0007346099100430582
001011001,0.00023535491064772382
001011010,0.0006591242636903154
001011011,0.00021117075888274936
001011100,0.0005488076574729711
001011101,0.00017582743633252497
001011110,0.0002852749110287616
001011111,9.139660420763465e-05
001100000,0.0004707550819967602
001100001,0.0001508208897615
001100010,0.0005889929480228603
001100011,0.00018870203186604763
001100100,0.00033611685720407326
001100101,0.00010768538759546792
001100110,0.005004533611649479
001100111,0.001603356481992266
001101000,0.00012370770896410555
001101001,3.963357476075324e-05
001101010,0.00015477893066361838
001101011,4.958819762498286e-05
001101100,8.832670732425057e-05
001101101,2.82981811515287e-05
001101110,0.0013151199237298474
001101111,0.00042133917322506197
001110000,0.0005196419027059593
001110001,0.00016648328848845202
001110010,0.0004527642980378065
001110011,0.0001450569880045878
001110100,0.0026401282889084374
001110101,0.0008458464132319583
001110110,0.00016043770494854204
001110111,5.1401160257253734e-05
001111000,0.00013655446690630712
001111001,4.374942934733594e-05
001111010,0.00011897998800867716
001111011,3.811890373900375e-05
001111100,0.0006937879897267564
001111101,0.00022227635116035094
001111110,4.216073637794526e-05
001111111,1.3507490448218765e-05
010000000,0.008593013457508904
010000001,0.002753036525695867
010000010,0.0002880970703346117
010000011,9.230076986369438e-05
010000100,0.011385922847471482
010000101,0.003647831070304317
010000110,0.007683458674326073
010000111,0.002461632636640441
010001000,0.0022581211516978774
010001001,0.000723458661017026
010001010,7.570779348614872e-05
010001011,2.425532344128651e-05
010001100,0.0029920578317037846
010001101,0.0009585978816868808
010001110,0.0020191031512386366
010001111,0.0006468818828219362
010010000,0.00782044303954271
010010001,0.002505519797152348
010010010,0.0007313249483882306
010010011,0.00023430247200486906
010010100,0.01450748660165654
010010101,0.0046479201630369935
010010110,0.010179662238680408
010010111,0.003261368331483855
010011000,0.0020551006850580778
010011001,0.0006584148015040656
010011010,0.00019218174658818337
010011011,6.157134171213966e-05
010011100,0.0038123601825093764
010011101,0.0012214070050577488
010011110,0.0026750697798823457
010011111,0.000857040996062431
010100000,0.000551396620329145
010100001,0.00017665689032348627
010100010,0.001727046616955222
010100011,0.0005533125767308588
010100100,0.0008764488543673568
010100101,0.0002807973850976744
010100110,0.006039215250960526
010100111,0.0019348486133121665
010101000,0.00014489915295686273
010101001,4.642290653973655e-05
010101010,0.0004538431732941121
010101011,0.00014540263892227412
010101100,0.000230318235414709
010101101,7.378954051054513e-05
010101110,0.0015870194740511677
010101111,0.0005084505686693179
010110000,0.0005030416106896003
010110001,0.00016116487365246425
010110010,0.0017113165982945364
010110011,0.0005482729807687588
010110100,0.03909040087201241
010110101,0.012523813902642464
010110110,0.009355789589732436
010110111,0.0029974153531379913
010111000,0.00013219214736475698
010111001,4.2351825922875754e-05
010111010,0.00044970954915515946
010111011,0.00014407830511384875
010111100,0.01027239878931015
010111101,0.003291079341761355
010111110,0.002458567819994333
010111111,0.0007876779249577767
011000000,0.0022581211516978774
011000001,0.0007234586610170259
011000010,7.570779348614837e-05
011000011,2.425532344128656e-05
011000100,0.002992057831703779
011000101,0.0009585978816868788
011000110,0.002019103151238637
011000111,0.0006468818828219364
011001000,0.0005934019725396265
011001001,0.0001901145986678297
011001010,1.9894926345083102e-05
011001011,6.373952417842549e-06
011001100,0.000786270044878095
011001101,0.00025190582597288803
011001110,0.0005305914573295181
011001111,0.00016999131555809604
011010000,0.0020551006850580778
011010001,0.0006584148015040661
011010010,0.00019218174658818248
011010011,6.157134171213959e-05
011010100,0.0038123601825093764
011010101,0.0012214070050577481
011010110,0.002675069779882343
011010111,0.0008570409960624295
011011000,0.0005400510948511605
011011001,0.00017302200179473499
011011010,5.0502616932573006e-05
011011011,1.618006881359016e-05
011011100,0.0010018337814300185
011011101,0.000320968308334573
011011110,0.0007029701142783132
011011111,0.00022521812756963024
011100000,0.0001448991529568631
011100001,4.642290653973677e-05
011100010,0.0004538431732941108
011100011,0.00014540263892227372
011100100,0.00023031823541470907
011100101,7.378954051054541e-05
011100110,0.001587019474051167
011100111,0.0005084505686693181
011101000,3.807742694375511e-05
011101001,1.2199276505155506e-05
011101010,0.00011926350101006545
011101011,3.820973586119116e-05
011101100,6.052434126670824e-05
011101101,1.9390836872869715e-05
011101110,0.0004170460409764408
011101111,0.00013361354423362473
011110000,0.0001321921473647566
011110001,4.235182592287592e-05
011110010,0.0004497095491551598
011110011,0.00014407830511384861
011110100,0.010272398789310154
011110101,0.003291079341761356
011110110,0.002458567819994335
011110111,0.000787677924957777
011111000,3.4738207443615066e-05
011111001,1.1129454690415142e-05
011111010,0.00011817724365139933
011111011,3.7861719859645114e-05
011111100,0.0026994396202821114
011111101,0.0008648486250249242
011111110,0.0006460764928002787
011111111,0.00020699050360713404
100000000,0.015252373250883921
100000001,0.004886567543605706
100000010,0.00012545857256022577
100000011,4.0194517840322043e-05
100000100,0.007031802400995415
100000101,0.0022528544784833106
100000110,0.0001073874134104362
100000111,3.4404865415471894e-05
100001000,0.004008105750295945
100001001,0.0012841201266563871
100001010,3.29687202005381e-05
100001011,1.0562544951935917e-05
100001100,0.0018478571940757616
100001101,0.0005920179660739442
100001110,2.8219877793433405e-05
100001111,9.041107022601783e-06
100010000,0.05012768874141342
100010001,0.016059949019773978
100010010,0.018226473313066732
100010011,0.005839412100727721
100010100,0.0030082981779235296
100010101,0.000963800976800603
100010110,0.000500817474508246
100010111,0.00016045230312343345
100011000,0.013172840330396509
100011001,0.004220325122969658
100011010,0.004789656749941169
100011011,0.0015345140611424603
100011100,0.0007905377758075353
100011101,0.00025327312502213206
100011110,0.00013160767615681443
100011111,4.216457256971415e-05
100100000,0.011699464788656367
100100001,0.003748283888246233
100100010,0.022903233596445954
100100011,0.007337756301598938
100100100,0.0008593330968240715
100100101,0.0002753138250038121
100100110,0.0021827281548360117
100100111,0.0006993041923700565
100101000,0.003074452173669495
100101001,0.0009849954468791086
100101010,0.006018642526530507
100101011,0.0019282575074016494
100101100,0.00022582045889813098
100101101,7.2348539272064e-05
100101110,0.0005735897702493012
100101111,0.00018376714944882754
100110000,0.016103732025504455
100110001,0.005159326548882708
100110010,0.00467749549074452
100110011,0.001498579747195054
100110100,0.0012746155086477723
100110101,0.00040836233631862687
100110110,0.0009141973527243864
100110111,0.00029289127919908164
100111000,0.004231830671263497
100111001,0.001355797295809879
100111010,0.0012291789785796121
100111011,0.00039380534446738967
100111100,0.00033495074278564987
100111101,0.00010731178692523296
100111110,0.00024023800139742792
100111111,7.696764307163403e-05
101000000,0.004008105750295948
101000001,0.0012841201266563884
101000010,3.296872020053808e-05
101000011,1.0562544951935965e-05
101000100,0.0018478571940757633
101000101,0.0005920179660739442
101000110,2.8219877793433344e-05
101000111,9.041107022601834e-06
101001000,0.0010532729196503483
101001001,0.0003374484205875274
101001010,8.663708581090272e-06
101001011,2.7756858859430694e-06
101001100,0.00048559046670796545
101001101,0.00015557386218318357
101001110,7.41578065236202e-06
101001111,2.3758737378284057e-06
101010000,0.013172840330396498
101010001,0.004220325122969659
101010010,0.00478965674994117
101010011,0.00153451406114246
101010100,0.0007905377758075374
101010101,0.0002532731250221324
101010110,0.00013160767615681465
101010111,4.216457256971417e-05
101011000,0.0034616342130843634
101011001,0.0011090411384020403
101011010,0.001258653354832531
101011011,0.00040324836871000717
101011100,0.00020774203154625318
101011101,6.655655825481468e-05
101011110,3.458461676163373e-05
101011111,1.1080247184853534e-05
101100000,0.0030744521736694942
101100001,0.0009849954468791086
101100010,0.006018642526530505
101100011,0.001928257507401649
101100100,0.000225820458898131
101100101,7.234853927206397e-05
101100110,0.0005735897702492992
101100111,0.0001837671494488277
101101000,0.0008079221006200086
101101001,0.00025884272891254405
101101010,0.001581613256033097
101101011,0.0005067185202158605
101101100,5.934238986654818e-05
101101101,1.9012162337757203e-05
101101110,0.00015073119563959744
101101111,4.8291381039908186e-05
101110000,0.004231830671263486
101110001,0.001355797295809877
101110010,0.001229178978579613
101110011,0.0003938053444673903
101110100,0.0003349507427856475
101110101,0.00010731178692523249
101110110,0.0002402380013974281
101110111,7.696764307163408e-05
101111000,0.001112064632091729
101111001,0.0003562841564512811
101111010,0.0003230106719229629
101111011,0.00010348641747051063
101111100,8.802026911761135e-05
101111101,2.8200004233743226e-05
101111110,6.313111402416217e-05
101111111,2.0225996814250704e-05
110000000,0.020238573135185716
110000001,0.0064840502513638315
110000010,0.002648454853869065
110000011,0.0008485140847750732
110000100,0.003988204100070798
110000101,0.001277744020036472
110000110,0.002384568135552608
110000111,0.0007639698468585838
110001000,0.005318407832448092
110001001,0.0017039157559426417
110001010,0.0006959760920207377
110001011,0.00022297737712371893
110001100,0.0010480430503443943
110001101,0.0003357728708755305
110001110,0.0006266304331050262
110001111,0.00020076035944564547
110010000,0.010390074592664895
110010001,0.003328780409777617
110010010,0.0038486057670158356
110010011,0.0012330193944174177
110010100,0.009339941731107656
110010101,0.0029923380035139233
110010110,0.0047126006271067345
110010111,0.0015098267588659407
110011000,0.002730363139942861
110011001,0.000874755926991817
110011010,0.0010113586031278347
110011011,0.0003240198783297203
110011100,0.0024544032291966182
110011101,0.0007863436700264446
110011110,0.0012384041068008989
110011111,0.0003967608984267799
110100000,0.0010697254815696237
110100001,0.00034271950553682986
110100010,0.007664332372075672
110100011,0.0024555049366249315
110100100,0.001738432105224516
110100101,0.0005569602685706599
110100110,0.0020544071653143315
110100111,0.000658192611093767
110101000,0.0002811085713279957
110101001,9.006178896134372e-05
110101010,0.0020140770323015533
110101011,0.0006452716108161132
110101100,0.00045683511692488053
110101101,0.00014636120021617387
110101110,0.0005398688477721565
110101111,0.0001729636133297708
110110000,0.008219975361185537
110110001,0.0026335222819753655
110110010,0.007104446113508357
110110011,0.0022761281292112186
110110100,0.0036440306331054734
110110101,0.0011674774493606232
110110110,0.003893833522575152
110110111,0.0012475094989244976
110111000,0.002160092070297938
110111001,0.0006920520254974897
110111010,0.0018669469237235134
110111011,0.0005981339489297604
110111100,0.0009575991810951894
110111101,0.00030679639169281194
110111110,0.0010232438110327606
110111111,0.00032782767074614584
111000000,0.005318407832448093
111000001,0.0017039157559426432
111000010,0.0006959760920207378
111000011,0.00022297737712371926
111000100,0.0010480430503443925
111000101,0.0003357728708755299
111000110,0.000626630433105025
111000111,0.0002007603594456451
111001000,0.0013976015840301346
111001001,0.00044776471353517297
111001010,0.00018289257223200737
111001011,5.859526860081898e-05
111001100,0.0002754107382206651
111001101,8.823631263230438e-05
111001110,0.00016466952394396305
111001111,5.275695381234775e-05
111010000,0.002730363139942866
111010001,0.0008747559269918172
111010010,0.0010113586031278345
111010011,0.00032401987832971987
111010100,0.0024544032291966235
111010101,0.0007863436700264457
111010110,0.0012384041068008974
111010111,0.00039676089842677874
111011000,0.0007175004192194717
111011001,0.0002298733582905316
111011010,0.0002657705896735138
111011011,8.514779412890912e-05
111011100,0.0006449820978461695
111011101,0.00020663988047625055
111011110,0.00032543490380233987
111011111,0.00010426309481934515
111100000,0.0002811085713279952
111100001,9.00617889613435e-05
111100010,0.002014077032301549
111100011,0.0006452716108161127
111100100,0.00045683511692488096
111100101,0.00014636120021617398
111100110,0.0005398688477721579
111100111,0.00017296361332977197
111101000,7.387131580535657e-05
111101001,2.366695125278177e-05
111101010,0.0005292706650906925
111101011,0.00016956815908402337
111101100,0.0001200497410445693
111101101,3.8461632072416484e-05
111101110,0.00014186981904837874
111101111,4.5452366118751125e-05
111110000,0.002160092070297939
111110001,0.0006920520254974909
111110010,0.0018669469237235126
111110011,0.0005981339489297597
111110100,0.0009575991810951895
111110101,0.0003067963916928122
111110110,0.001023243811032761
111110111,0.00032782767074614633
111111000,0.0005676413306780341
111111001,0.00018186138362039428
111111010,0.0004906069748876554
111111011,0.00015718105508686373
111111100,0.00025164338172775126
111111101,8.062170794586012e-05
111111110,0.0002688938524840695
111111111,8.614842756668077e-05
